author,description,publishedAt,source,title,url,urlToImage,category,scraping_date
Globo,CCJ votou pela soltura do trio de deputados; votação em plenário ocorre logo mais.,,globo,Deputados do RJ decidem se mantêm prisões de presidente da Alerj e mais 2,https://g1.globo.com/rj/rio-de-janeiro/ao-vivo/deputados-do-rj-decidem-se-mantem-prisoes-de-presidente-da-alerj-e-mais-2.ghtml,https://s.glbimg.com/jo/g1/static/live/imagens/img_facebook.png,general,2017-11-17 18:44:24.792072
,"'Não posso compactuar com hipocrisia', disse Paulo Ramos sobre partido. Picciani, Albertassi e Paulo Melo integram a cúpula do PMDB no estado e são investigados pela Operação Cadeia Velha.",2017-11-17T19:20:00+00:00,google-news-br,"PSOL expulsa deputado que votou pela soltura de Picciani, Albertassi e Paulo Melo",https://g1.globo.com/rj/rio-de-janeiro/noticia/psol-expulsa-deputado-que-votou-pela-soltura-de-picciani-albertassi-e-paulo-melo.ghtml,https://s2.glbimg.com/-IdWAzHWBY9RzZRkAB497vd7zis=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2017/c/9/9TiHcZR56g6AqAT40Yog/pauloramos.jpg,general,2017-11-17 18:44:24.792072
,"O ARA San Juan estava em exercício a cerca de 400 km a leste de Puerto Madryn, na Patagônia, quando as comunicações foram interrompidas",2017-11-17T20:04:00+00:00,google-news-br,Marinha argentina busca submarino desaparecido com 44 tripulantes,http://www.valor.com.br/internacional/5197831/marinha-argentina-busca-submarino-desaparecido-com-44-tripulantes,http://www.valor.com.br/sites/all/themes/basic/images/facebook/valor-big.jpg,general,2017-11-17 18:44:24.792072
,A mulher falava várias línguas e segundo moradores nunca fez mal a ninguém,2017-11-16T19:27:00+00:00,google-news-br,Polícia do Rio encontra suspeitos de matar anapolina em Copanabana,https://www.dm.com.br/cotidiano/2017/11/policia-do-rio-encontra-suspeitos-de-matar-anapolina-em-copanabana.html,https://imgs.dm.com.br/uploads/2017/11/fernanda.jpg,general,2017-11-17 18:44:24.792072
,"Ivanice Carvalho da Costa, 36, foi baleada após carro em que ela estava não obedecer uma ordem de parada. Policiais procuravam criminosos envolvidos em roubo a banco.",2017-11-17T14:17:41+00:00,google-news-br,"'Estão muito abalados', diz advogada de policiais envolvidos em morte de brasileira em Lisboa",https://g1.globo.com/mundo/noticia/estao-muito-abalados-diz-advogada-de-policiais-envolvidos-em-morte-de-brasileira-em-lisboa.ghtml,https://s2.glbimg.com/hizfGRwPhOyX9dRQKKgw4BATT5Y=/1200x/smart/filters:cover():strip_icc()/s03.video.glbimg.com/x720/6295062.jpg,general,2017-11-17 18:44:24.792072
,"A Fuvest disponibiliza a partir de hoje (17) a relação dos locais onde será realizada, no dia 26 de novembro, a primeira fase do vestibular da Universidade de São Paulo (USP). São 105 endereços, dos quais 59 na Região Metropolitana de São Paulo e 46 em cidades do interior do Estado.",2017-11-17T17:29:10+00:00,google-news-br,Fuvest divulga locais de prova do vestibular da USP,http://agenciabrasil.ebc.com.br/educacao/noticia/2017-11/fuvest-divulga-locais-de-prova-do-vestibular-da-usp,http://agenciabrasil.ebc.com.br/sites/_agenciabrasil2013/modules/ebc_imagem_destaque_token/imagem_twitter_padrao.png,general,2017-11-17 18:44:24.792072
,"Uma selfie da Miss Iraque, Sarah Eedan, ao lado da Miss Israel, Adar Gandelsman, gerou polêmica em meio aos preparativos para o concurso Miss Universo 2017...",2017-11-17T10:36:00+00:00,google-news-br,Selfie de Miss Iraque com Miss Israel gera polêmica ante conflito na região,https://cidadeverde.com/noticias/260375/selfie-de-miss-iraque-com-miss-israel-gera-polemica-ante-conflito-na-regiao,https://cidadeverde.com/assets/uploads/noticias/87cb477115a28508a2984f4a2fd6e725.jpg,general,2017-11-17 18:44:24.792072
Rodrigo Tolotti Umpieres,"Entre as maiores alta do dia, ficavam os papéis das siderúrgicas CSN, Gerdau e Usiminas, além da Raia Drogasil, com ganhos de até 5%",,info-money,"Ibovespa ganha força e sobe 1,5% com Vale e bancos; dólar bate a mínima do dia",http://www.infomoney.com.br/mercados/acoes-e-indices/noticia/7090654,http://images.immedia.com.br/28/28688_2_L.jpg,business,2017-11-17 18:44:24.792072
Rodrigo Tolotti Umpieres,Entre as principais proteções que a moeda oferece ao investidor estão em casos contra a hiperinflação e a forte desvalorização da moeda local,,info-money,"Crises no Zimbábue e na Venezuela mostram poder do Bitcoin como o ""ouro digital""",http://www.infomoney.com.br/mercados/bitcoin/noticia/7090516,http://images.immedia.com.br//9/9281_2_L.jpg,business,2017-11-17 18:44:24.792072
Rafael de Souza Ribeiro,Candle de reversão sobre a média móvel de 21 semanal sugere uma recuperação para semana que vem,,info-money,"Com sinal de reversão no gráfico semanal, chegou a hora da virada para o Ibovespa?",http://www.infomoney.com.br/mercados/acoes-e-indices/noticia/7089536,http://images.immedia.com.br//28/28068_2_L.jpg,business,2017-11-17 18:44:24.792072
Your Name,Black Friday - Uma semana de descontos | InfoMoney - Informação que vale dinheiro,,info-money,Black Friday - Uma semana de descontos | InfoMoney - Informação que vale dinheiro,http://cursos.infomoney.com.br/black-friday,https://images.clickfunnels.com/15/cbbe70cacd11e7b068f9f0b2ebb33d/black-friday-share.jpg,business,2017-11-17 18:44:24.792072
Paula Zogbi,"Quem começou a investir em 2012 saiu machucado do mercado, mas o momento era totalmente diferente",,info-money,Momento ideal? Por que este ano é diferente de 2012 para investimentos imobiliários,http://www.infomoney.com.br/imoveis/fundos-imobiliarios/noticia/7090531,http://images.immedia.com.br//23/23265_2_L.jpg,business,2017-11-17 18:44:24.792072
Júlia Miozzo,"De acordo com Musk, o veículo consegue rodar até 800 quilômetros com uma única carga de bateria, ao mesmo tempo em que consegue carregar até 36 mil quilos de carga",,info-money,"Tesla apresenta o revolucionário Semi, seu primeiro caminhão elétrico; conheça",http://www.infomoney.com.br/negocios/grandes-empresas/noticia/7090823,http://images.immedia.com.br//28/28768_2_L.jpg,business,2017-11-17 18:44:24.792072
Paula Zogbi,"Após 20 anos de empresa, executiva ocupava esse cargo há apenas 6 meses",,info-money,Vice-presidente de diversidade da Apple deixa empresa após comentário sobre homens brancos,http://www.infomoney.com.br/negocios/grandes-empresas/noticia/7091060,http://images.immedia.com.br//27/27521_2_L.jpg,business,2017-11-17 18:44:24.792072
Mariana d'Ávila,Consumidor deve estar atento a promoções falsas para evitar dores de cabeça,,info-money,"As promoções mais absurdas da Black Friday 2016, segundo o ReclameAqui",http://www.infomoney.com.br/minhas-financas/consumo/noticia/7059105,http://images.immedia.com.br//28/28696_2_L.png,business,2017-11-17 18:44:24.792072
Giovanna Sutto,Preços já são conhecidos: a versão de 64 GB custará R$ 6.999  e o de 256 GB custará R$ 7.799,,info-money,Apple confirma data de lançamento do iPhone X no Brasil,http://www.infomoney.com.br/minhas-financas/gadgets/noticia/7090367,http://images.immedia.com.br//28/28599_2_L.jpg,business,2017-11-17 18:44:24.792072
Giovanna Sutto,"As duas temporadas somam 17 episódios, o que significa que em média cada ator mirim tenha embolsado US$ 510 mil, cerca de R$ 1.673.000, por enquanto",,info-money,Os salários das crianças de StrangerThings,http://www.infomoney.com.br/carreira/salarios/noticia/7088286,http://images.immedia.com.br//25/25197_2_L.jpg,business,2017-11-17 18:44:24.792072
